Title,Rating,Genre,Company,Budget,Popularity,Revenue,Runtime,Score 1,Votes 1,Score 2,Votes 2
Southland Tales,R,Comedy,Universal Pictures,17000000,9.349386,374743,144,5.2,153,5.4,38000
Ride with the Devil,R,Drama,Universal Pictures,38000000,5.516207,635096,138,6.6,49,6.7,13000
Heartbeeps,PG,Comedy,Universal Pictures,10000000,0.518056,2154696,79,3.8,6,4.3,1300
By the Sea,R,Drama,Universal Pictures,10000000,11.267676,3727746,122,5.4,156,5.3,19000
Midnight Special,PG-13,Drama,Warner Bros.,18000000,32.717853,6212282,112,6.2,694,6.6,77000
A Simple Wish,PG,Comedy,Universal Pictures,28000000,1.767479,8345056,86,5.5,46,5.4,5200
The Last Temptation of Christ,R,Drama,Universal Pictures,7000000,14.672151,8373585,164,7,201,7.5,54000
Head Over Heels,PG-13,Comedy,Universal Pictures,14000000,4.66723,10424470,86,5.3,73,5.5,14000
Jonah Hex,PG-13,Action,Warner Bros.,47000000,22.581313,10539000,80,4.4,420,4.7,56000
Abandon,PG-13,Drama,Paramount Pictures,25000000,3.888776,10719357,99,4.6,45,4.9,9400
The Astronaut Farmer,PG,Adventure,Warner Bros.,13000000,6.764437,11130889,104,6.2,123,6.3,22000
Stop-Loss,R,Drama,Paramount Pictures,25000000,4.002579,11207130,113,6.1,82,6.4,20000
Fun Size,PG-13,Adventure,Paramount Pictures,14000000,7.487843,11417362,87,5.5,134,5.4,14000
Whiteout,R,Action,Warner Bros.,40000000,14.818718,12206028,101,5.3,220,5.5,38000
Hot Tub Time Machine 2,R,Comedy,Paramount Pictures,14000000,16.618874,12314651,93,5,354,5.1,38000
The Weather Man,R,Comedy,Paramount Pictures,20000000,14.031377,12482775,101,6,289,6.5,78000
Sphere,PG-13,Action,Warner Bros.,75000000,18.65988,13100000,134,5.8,476,6.1,101000
Alfie,R,Comedy,Paramount Pictures,60000000,15.219263,13395939,103,5.6,248,6.2,51000
The Man Who Knew Too Little,PG,Comedy,Warner Bros.,20000000,6.397042,13801755,97,6.5,125,6.6,31000
Friday the 13th Part VIII: Jason Takes Manhattan,R,Adventure,Paramount Pictures,5000000,12.904615,14000000,100,4.8,191,4.6,35000
Dragonslayer,PG,Action,Paramount Pictures,18000000,3.258422,14110013,108,6.5,67,6.7,16000
Memoirs of an Invisible Man,PG-13,Comedy,Warner Bros.,40000000,7.222985,14358033,99,5.7,125,6,23000
Soldier,R,Action,Warner Bros.,75000000,11.873856,14567883,99,6.1,221,6,53000
The Fountain,PG-13,Drama,Warner Bros.,35000000,24.606012,15304890,96,6.8,827,7.2,232000
Kiss Kiss Bang Bang,R,Comedy,Warner Bros.,15000000,32.690038,15785148,103,7.2,886,7.5,219000
Mo' Better Blues,R,Drama,Universal Pictures,10000000,3.079862,16153593,129,6.3,47,6.6,12000
Rock Star,R,Drama,Warner Bros.,57000000,11.60815,16991902,105,6,190,6.3,42000
Max Keeble's Big Move,PG,Comedy,Walt Disney Pictures,12000000,1.081822,17292381,86,5.4,33,5.4,7700
The Phantom,PG,Action,Paramount Pictures,45000000,9.025236,17300889,100,4.7,136,5,33000
Repo Men,R,Action,Universal Pictures,32000000,25.799697,18409891,111,6.2,620,6.3,103000
Beerfest,R,Comedy,Warner Bros.,17500000,14.304444,19179969,110,5.8,172,6.3,65000
Timeline,PG-13,Action,Paramount Pictures,80000000,11.22268,19480739,116,5.4,318,5.7,61000
Summer Catch,PG-13,Comedy,Warner Bros.,34000000,3.960098,19693891,108,4.8,63,5.1,15000
Nighthawks,R,Action,Universal Pictures,5000000,7.058868,19905359,99,6.4,86,6.4,18000
Flipper,PG,Adventure,Universal Pictures,25530000,4.475007,20080020,95,5.3,84,5.3,10000
Battlefield Earth,PG-13,Action,Warner Bros.,44000000,7.89147,21400000,118,3,255,2.5,77000
Young Adult,R,Comedy,Paramount Pictures,12000000,16.183746,22939027,94,5.6,364,6.3,82000
Air Bud,PG,Comedy,Walt Disney Pictures,3000000,11.241802,23144499,98,5.3,106,5.3,17000
The Losers,PG-13,Action,Warner Bros.,25000000,24.903418,23580000,97,6.2,515,6.3,94000
Virtuosity,R,Action,Paramount Pictures,30000000,5.301589,24048000,106,5.4,163,5.6,29000
Wyatt Earp,PG-13,Adventure,Warner Bros.,63000000,13.859307,25052000,191,6.5,202,6.7,47000
North Country,R,Drama,Warner Bros.,35000000,12.779201,25224242,126,6.8,125,7.3,41000
RockNRolla,R,Action,Warner Bros.,18000000,31.887978,25739015,114,6.9,836,7.3,241000
Your Highness,R,Adventure,Universal Pictures,49900000,21.408222,26121638,102,5.2,501,5.5,99000
Fast Times at Ridgemont High,R,Comedy,Universal Pictures,4500000,20.403344,27092880,90,7,322,7.2,98000
Ice Princess,G,Comedy,Walt Disney Pictures,25000000,13.288177,27645491,98,5.9,185,6,26000
Cirque du Freak: The Vampire's Assistant,PG-13,Action,Universal Pictures,40000000,16.424807,28169671,109,5.5,348,5.8,44000
Shorts,PG,Adventure,Warner Bros.,40000000,4.100942,28972508,89,5.1,44,4.7,7000
Confessions of a Teenage Drama Queen,PG,Comedy,Walt Disney Pictures,15000000,7.424798,29331068,89,5.1,221,4.7,28000
Mystery Men,PG-13,Action,Universal Pictures,68000000,12.948627,29762011,121,5.7,250,6.1,64000
The Four Feathers,PG-13,Action,Paramount Pictures,35000000,10.10364,29882645,132,6.5,159,6.5,33000
Leap Year,PG,Comedy,Universal Pictures,19000000,21.959742,29922472,100,6.4,465,6.5,99000
What's Eating Gilbert Grape,PG-13,Drama,Paramount Pictures,11000000,33.282794,30000000,118,7.5,919,7.7,221000
Shaun of the Dead,R,Comedy,Universal Pictures,4000000,49.12486,30039392,99,7.5,2420,7.9,525000
Assassins,R,Action,Warner Bros.,50000000,23.073933,30303072,132,6,387,6.3,79000
The Invention of Lying,PG-13,Comedy,Warner Bros.,18500000,16.665841,31912793,100,6,518,6.4,133000
The Lost Boys,R,Comedy,Warner Bros.,8500000,24.750909,32222567,97,6.8,538,7.3,128000
The Box,PG-13,Drama,Warner Bros.,30000000,21.606001,33333531,115,5.4,597,5.6,90000
Red Planet,PG-13,Action,Warner Bros.,80000000,13.800656,33463969,106,5.4,267,5.7,56000
White Fang,PG,Adventure,Walt Disney Pictures,14000000,13.13724,34793160,107,6.5,135,6.7,20000
